,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS,Open,Close,High,Low,PE_ratio,EPS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02 00:00:00-04:00,38.84351728827943,38.55281066894531,38.86916681710218,38.34760465344637,36.551693,11.8,22.876924933653502,22.930200576782227,23.02786920208824,22.801453646210295,34.682926,6.56,29.075503888173152,29.358802795410156,29.39222071913452,29.048073564423767,23.313753,6.98,74.78483632132547,76.44982147216797,76.46975808910048,74.59540423125017,29.045527,19.55,16.999000549316406,17.118999481201172,17.125,16.857999801635742,45.51429,4.2,0.4660826623439789,0.4660826623439789,0.4660826623439789,0.46178035935501516,57.962616,2.14,18.366666793823242,18.941333770751953,18.992666244506836,18.286666870117188,71.21008,3.57
2014-09-03 00:00:00-04:00,38.07399576723615,38.441654205322266,38.56990836247368,38.07399576723615,36.551693,11.8,22.88580977434779,21.962387084960938,22.908007117609973,21.8824752943781,34.682926,6.56,29.513419914036074,29.4031925201416,29.65107953365586,29.252566426786345,23.313753,6.98,76.9084441138372,75.60237884521484,77.24742747296779,75.37306590170067,29.045527,19.55,17.12700080871582,16.950000762939453,17.16349983215332,16.877500534057617,45.51429,4.2,0.46847275825654033,0.4703848958015442,0.472058005468543,0.46536553830753563,57.962616,2.14,19.17799949645996,18.746000289916992,19.200000762939453,18.67333221435547,71.21008,3.57
2014-09-04 00:00:00-04:00,38.25355502803763,38.69816207885742,38.70671409616488,38.236454255061645,36.551693,11.8,21.942409033074313,21.780366897583008,22.21765982464709,21.70711413814507,34.682926,6.56,29.533369823789595,29.583744049072266,29.826143846982184,29.45705884676748,23.313753,6.98,75.66219029551418,75.72200775146484,76.69906930211583,75.30327034682544,29.045527,19.55,17.184499740600586,17.297500610351562,17.4689998626709,17.179000854492188,45.51429,4.2,0.4696678939063609,0.4787505269050598,0.4816187477942392,0.4694288660012575,57.962616,2.14,18.93400001525879,19.069332122802734,19.42799949645996,18.69333267211914,71.21008,3.57
2014-09-05 00:00:00-04:00,38.569918217130414,39.25393295288086,39.27103372897956,38.569918217130414,36.551693,11.8,21.93130427474392,21.969039916992188,22.062269748504942,21.822534444430783,34.682926,6.56,29.682999783340026,29.81517219543457,29.851082572959076,29.604194446544035,23.313753,6.98,75.87156222705075,77.02808380126953,77.14771871826272,75.37306312226526,29.045527,19.55,17.315000534057617,17.319000244140625,17.34149932861328,17.125,45.51429,4.2,0.47827240424554956,0.47731634974479675,0.48042356961176047,0.47420912987783304,57.962616,2.14,18.836666107177734,18.492666244506836,18.860000610351562,18.167333602905273,71.21008,3.57
2014-09-08 00:00:00-04:00,39.34796035997921,39.73271942138672,40.01487389199392,39.32231084309786,36.551693,11.8,22.042295962444307,21.833637237548828,22.044514510993206,21.764824974465643,34.682926,6.56,29.88300557572164,30.0071964263916,30.10146449875374,29.827142239173284,23.313753,6.98,77.02808283899802,77.65618896484375,77.93534724299741,76.77883328971903,29.045527,19.55,17.226999282836914,17.117000579833984,17.29050064086914,16.95199966430664,45.51429,4.2,0.4768383317458175,0.47301405668258667,0.47779438626511933,0.47110191915097127,57.962616,2.14,18.507999420166016,18.80733299255371,18.992000579833984,18.501333236694336,71.21008,3.57
2014-09-09 00:00:00-04:00,39.73272937061803,39.980682373046875,40.16023882109031,39.689975816260194,36.551693,11.8,21.99346433383426,21.751508712768555,22.881371638129075,21.34085192324196,34.682926,6.56,29.939364548848808,29.525388717651367,29.955824264427854,29.451073606010866,23.313753,6.98,77.35707864723535,76.4398422241211,77.9353393686955,75.97125190178242,29.045527,19.55,17.08049964904785,16.487499237060547,17.08799934387207,16.458999633789062,45.51429,4.2,0.4708628463011113,0.4670385718345642,0.4739700657435548,0.4665605446494977,57.962616,2.14,18.865999221801758,18.565332412719727,19.03266716003418,18.46666717529297,71.21008,3.57
2014-09-10 00:00:00-04:00,40.03199056718152,40.04909133911133,40.1345919371216,39.57027950999308,36.551693,11.8,21.75594474622544,22.419654846191406,22.44407242754737,21.7004505510616,34.682926,6.56,29.513919410101316,29.59771156311035,29.612675806602997,29.284487971346824,23.313753,6.98,76.29029124945718,77.19756317138672,77.71599883642371,76.28032674513337,29.045527,19.55,16.71500015258789,16.566499710083008,16.749000549316406,16.44099998474121,45.51429,4.2,0.46966781678846675,0.4687117338180542,0.4703848718930235,0.46440943168372417,57.962616,2.14,18.633333206176758,18.739999771118164,18.76066780090332,18.243999481201172,71.21008,3.57
2014-09-11 00:00:00-04:00,39.96359050197142,40.18589401245117,40.18589401245117,39.732734974758564,36.551693,11.8,22.288688729109715,22.515104293823242,22.51732453576066,22.113326874118115,34.682926,6.56,29.427133319316447,29.48249626159668,29.524392336550655,29.229622436260264,23.313753,6.98,76.89846671813689,77.68609619140625,78.12477782373158,76.81871264484428,29.045527,19.55,16.496999740600586,16.525999069213867,16.65049934387207,16.319499969482422,45.51429,4.2,0.4653654021578914,0.46393129229545593,0.467038511335397,0.4589119362699354,57.962616,2.14,18.69733238220215,18.687332153320312,18.986000061035156,18.575332641601562,71.21008,3.57
